D01603,DB00217
D00533,DB00776
D00549,DB00818
D04985,DB00474
D00544,DB01028
D00615,DB00381
D00358,DB00281
D00709,DB01202
D02234,DB00434
D00303,DB00280
D02262,DB00468
D00779,DB00810
D00329,DB00690
D03742,DB00514
D03580,DB00318
D00326,DB00472
D01118,DB00392
D00136,DB00502
D02261,DB00468
D01350,DB01082
D00799,DB00831
D02237,DB01170
D00759,DB00565
D01450,DB00297
D04999,DB00422
D00726,DB01233
D00704,DB00189
D00438,DB00393
D00552,DB01086
D00761,DB00416
D00332,DB00996
D00219,DB00414
D01448,DB00831
D02362,DB00715
D00354,DB00555
D01712,DB00277
D00658,DB01021
D00738,DB00961
D00524,DB00411
D00633,DB00988
D00640,DB01182
D00394,DB00726
D02088,DB01056
D01256,DB00606
D00456,DB00904
D00697,DB01205
D00225,DB00404
D00677,DB00889
D00195,DB00318
D01108,DB00653
D00538,DB00909
D00349,DB00270
D00499,DB00312
D00960,DB01217
D02914,DB00381
D02347,DB01219
D00574,DB00357
D00733,DB00527
D00798,DB00679
D01071,DB01355
D00331,DB00695
D00545,DB00753
D00351,DB01026
D00480,DB01069
D00607,DB00226
D00345,DB00808
D00274,DB00604
D01768,DB00892
D02485,DB01218
D01599,DB01120
D00560,DB01100
D00110,DB00907
D02173,DB00674
D05458,DB00191
D00234,DB00637
D00678,DB00904
D00548,DB00292
D05156,DB00184
D00651,DB00562
D00542,DB01159
D00631,DB01244
D03991,DB01228
D00618,DB00401
D00711,DB01221
D04034,DB00477
D00543,DB00228
D01111,DB00731
D01295,DB00568
D00519,DB00880
D00340,DB00999
D00380,DB01124
D01453,DB00201
D00252,DB00564
D03180,DB00237
D00528,DB00201
D00546,DB01189
D05461,DB00467
D00823,DB00472
D03274,DB00477
D00451,DB00669
D00521,DB00342
D00760,DB01135
D00437,DB01115
D01243,DB00750
D01287,DB01002
D00294,DB01119
D00553,DB00750
D00775,DB00740
D02272,DB00908
D02207,DB01199
D00536,DB00949
D00616,DB00343
D03830,DB00343
D00594,DB00912
D00771,DB00356
D00816,DB00540
D00550,DB00683
D00593,DB00222
D06172,DB01056
D02566,DB00934
D00418,DB00350
D00293,DB00829
D00619,DB00661
D00379,DB00839
D00512,DB00252
D00648,DB00308
D00642,DB00908
D01242,DB01069
D00650,DB00436
D00735,DB00645
D00530,DB00962
D00629,DB01054
D00464,DB00842
D02086,DB00281
D00694,DB00628
D00963,DB00990
D00740,DB00721
D06106,DB01154
D01854,DB01252
D00367,DB00579
D01828,DB01025
D00649,DB00594
D00373,DB00679
D02101,DB00318
D00537,DB00273
D00319,DB01023
D00732,DB01161
D00513,DB00960
D00563,DB00370
D02163,DB00623
D00964,DB01006
D00708,DB00754
D00809,DB00321
D00495,DB00617
D00639,DB00379
D00638,DB01195
D00765,DB00728
D00477,DB01035
D00392,DB00347
D02360,DB01104
D02253,DB00312
D00617,DB00622
D00636,DB01118
D00547,DB01236
D00656,DB00232
D00791,DB00623
D00812,DB01151
D00336,DB01016
D00654,DB00774
D00504,DB01121
D00338,DB00801
D01253,DB00349
D04790,DB01046
D00539,DB00593
D04048,DB00296
D02356,DB00661
D00335,DB01067
D00611,DB00657
D04370,DB00889
D00227,DB01223
D00364,DB00455
D00647,DB00204
D05077,DB00680
D00474,DB00794
D00035,DB00172
D00228,DB00543
D00283,DB00363
D03365,DB00184
